Month,Monthly Value,YoY Value,YoY Percent
02/01/2021 07:59:59,42%,-44.8%,-44.8%
03/01/2021 07:59:59,55.5%,15.7%,15.7%
04/01/2021 07:00:00,65.6%,63.9%,63.9%
05/01/2021 07:00:00,70.9%,68.1%,68.1%
06/01/2021 07:00:00,75.9%,35%,35%
07/01/2021 07:00:00,79.4%,36.9%,36.9%
08/01/2021 07:00:00,72.8%,30.1%,30.1%
09/01/2021 07:00:00,73%,26.2%,26.2%
10/01/2021 07:00:00,81.6%,34.7%,34.7%
11/01/2021 07:00:00,77.6%,38.3%,38.3%
12/01/2021 07:59:59,72.6%,41.7%,41.7%
01/01/2022 07:59:59,59.3%,27.7%,27.7%
02/01/2022 07:59:59,69.3%,27.3%,27.3%
03/01/2022 07:59:59,80.6%,25.1%,25.1%
04/01/2022 07:00:00,84%,18.4%,18.4%
05/01/2022 07:00:00,82.6%,11.7%,11.7%
06/01/2022 07:00:00,82.7%,6.8%,6.8%
07/01/2022 07:00:00,83.4%,4%,4%
08/01/2022 07:00:00,76.8%,4%,4%
09/01/2022 07:00:00,83.1%,10.1%,10.1%
10/01/2022 07:00:00,87.7%,6.1%,6.1%
11/01/2022 07:00:00,81.2%,3.6%,3.6%
12/01/2022 07:59:59,79.1%,6.5%,6.5%
01/01/2023 07:59:59,79.1%,19.8%,19.8%
02/01/2023 07:59:59,82.2%,12.9%,12.9%
03/01/2023 07:59:59,88.3%,7.7%,7.7%
04/01/2023 07:00:00,84.3%,0.3%,0.3%
05/01/2023 07:00:00,84.4%,1.8%,1.8%
06/01/2023 07:00:00,85.5%,2.8%,2.8%
07/01/2023 07:00:00,85.2%,1.8%,1.8%
08/01/2023 07:00:00,80.3%,3.5%,3.5%
09/01/2023 07:00:00,82.6%,-0.5%,-0.5%
10/01/2023 07:00:00,87.7%,0%,0%
11/01/2023 07:00:00,81.9%,0.7%,0.7%
12/01/2023 07:59:59,79.9%,0.8%,0.8%
01/01/2024 07:59:59,78.9%,-0.2%,-0.2%
02/01/2024 07:59:59,83.9%,1.7%,1.7%
03/01/2024 07:59:59,85.3%,-3%,-3%
04/01/2024 07:00:00,85.5%,1.2%,1.2%
05/01/2024 07:00:00,86.1%,1.7%,1.7%
06/01/2024 07:00:00,85.2%,-0.3%,-0.3%
07/01/2024 07:00:00,83.7%,-1.5%,-1.5%
08/01/2024 07:00:00,81.2%,0.9%,0.9%
09/01/2024 07:00:00,83.9%,1.3%,1.3%
10/01/2024 07:00:00,85.7%,-2%,-2%
11/01/2024 07:00:00,81.4%,-0.5%,-0.5%
12/01/2024 07:59:59,81.9%,2%,2%
01/01/2025 07:59:59,81.9%,3%,3%
02/01/2025 07:59:59,80.5%,-3.4%,-3.4%
03/01/2025 07:59:59,82.9%,-2.4%,-2.4%
04/01/2025 07:00:00,84.5%,-1%,-1%
05/01/2025 07:00:00,83%,-3.1%,-3.1%
06/01/2025 07:00:00,78.7%,-6.5%,-6.5%
07/01/2025 07:00:00,76.1%,-7.6%,-7.6%
08/01/2025 07:00:00,77.5%,-3.7%,-3.7%
09/01/2025 07:00:00,78.7%,-5.2%,-5.2%
10/01/2025 07:00:00,83.7%,-2%,-2%
11/01/2025 07:00:00,79.4%,-2%,-2%
12/01/2025 07:59:59,76.1%,-5.8%,-5.8%
01/01/2026 07:59:59,79.5%,-2.4%,-2.4%
02/01/2026 07:59:59,81.7%,1.2%,1.2%
