Month,Monthly Value,YoY Value,YoY Percent
09/01/1989 07:00:00,86.1%,1.2%,1.2%
10/01/1989 07:00:00,88.8%,-1.4%,-1.4%
11/01/1989 07:59:59,85.2%,-0.2%,-0.2%
12/01/1989 07:59:59,75%,1.8%,1.8%
01/01/1990 07:59:59,81.6%,4.1%,4.1%
02/01/1990 07:59:59,87.8%,0.3%,0.3%
03/01/1990 07:59:59,90.2%,0.4%,0.4%
04/01/1990 07:59:59,86.9%,-0.5%,-0.5%
05/01/1990 07:00:00,83.9%,-0.7%,-0.7%
06/01/1990 07:00:00,87.4%,0.3%,0.3%
07/01/1990 07:00:00,84.1%,-3%,-3%
08/01/1990 07:00:00,84.5%,-2%,-2%
09/01/1990 07:00:00,84.4%,-1.7%,-1.7%
10/01/1990 07:00:00,89.4%,0.6%,0.6%
11/01/1990 07:59:59,81.8%,-3.4%,-3.4%
12/01/1990 07:59:59,74.1%,-0.9%,-0.9%
01/01/1991 07:59:59,70.4%,-11.2%,-11.2%
02/01/1991 07:59:59,82.2%,-5.6%,-5.6%
03/01/1991 07:59:59,83.1%,-7.1%,-7.1%
04/01/1991 07:59:59,85.1%,-1.8%,-1.8%
05/01/1991 07:00:00,80.7%,-3.2%,-3.2%
06/01/1991 07:00:00,77.6%,-9.8%,-9.8%
07/01/1991 07:00:00,81.8%,-2.3%,-2.3%
08/01/1991 07:00:00,85.6%,1.1%,1.1%
09/01/1991 07:00:00,82.3%,-2.1%,-2.1%
10/01/1991 07:00:00,86.1%,-3.3%,-3.3%
11/01/1991 07:59:59,76.1%,-5.7%,-5.7%
12/01/1991 07:59:59,72.6%,-1.5%,-1.5%
01/01/1992 07:59:59,75.8%,5.4%,5.4%
02/01/1992 07:59:59,85%,2.8%,2.8%
03/01/1992 07:59:59,82%,-1.1%,-1.1%
04/01/1992 07:59:59,84.8%,-0.3%,-0.3%
05/01/1992 07:00:00,83.8%,3.1%,3.1%
06/01/1992 07:00:00,83.5%,5.9%,5.9%
07/01/1992 07:00:00,87%,5.2%,5.2%
08/01/1992 07:00:00,90.5%,4.9%,4.9%
09/01/1992 07:00:00,87.7%,5.4%,5.4%
10/01/1992 07:00:00,87.9%,1.8%,1.8%
11/01/1992 07:59:59,84.2%,8.1%,8.1%
12/01/1992 07:59:59,74.4%,1.8%,1.8%
01/01/1993 07:59:59,76.2%,0.4%,0.4%
02/01/1993 07:59:59,88.8%,3.8%,3.8%
03/01/1993 07:59:59,88.6%,6.6%,6.6%
04/01/1993 07:59:59,90.5%,5.7%,5.7%
05/01/1993 07:00:00,86.5%,2.7%,2.7%
06/01/1993 07:00:00,86.9%,3.4%,3.4%
07/01/1993 07:00:00,91%,4%,4%
